COD_ACQ;ACQUEDOTTO;COMUNE;SIGLA_PROV;CAP;DISTRETTO;COD_PROD;PRODUTTORE;LUOGO_PREL;ETICHETTA;NOTE;miovalore                                                                                                     ;miovalore;miovalore
ACQ041;ACQUEDOTTO DI POMARANCE;POMARANCE;PI;56045;AVC;PM49;FONT. PARCO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ041.pdf;OK;17                                                                    ;19;15
ACQ042;ACQUEDOTTO DI SAN DALMAZIO;POMARANCE;PI;56045;AVC;PM58;FONT. SAN DALMAZIO - PIAZZA;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ042.pdf;OK;13                                                        ;16;13
ACQ044;ACQUEDOTTO DI SERRAZZANO-LUSTIGNANO;POMARANCE;PI;56045;AVC;PM53;FONT. SERRAZZANO;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ044.pdf;OK;16                                                          ;16;16
ACQ046;ACQUEDOTTO DI PORTOFERRAIO;PORTOFERRAIO;LI;57037;ELBA;PF09;ZONA MERCATO PORTOFERRAIO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ046-Portoferraio.pdf;OK;10                                  ;11;17
ACQ048;ACQUEDOTTO DI RADICONDOLI;RADICONDOLI;SI;53030;AVC;RA09;FONT. VIA VENETO (RADICONDOLI);FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ048.pdf;OK;13                                             ;19;11
ACQ049;ACQUEDOTTO DI CAVO;RIO MARINA;LI;57038;ELBA;RE26;LOC. CAVO - DELEGAZIONE DI SPIAGGIA;ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ049.pdf;OK;18                                                     ;19;17
ACQ050;ACQUEDOTTO DI RIO MARINA;RIO MARINA;LI;57038;ELBA;RE28;PIAZZA BATTISTI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ050-RIO.pdf;OK;18                                                         ;10;18
ACQ050;ACQUEDOTTO DI RIO MARINA;RIO NELL'ELBA;LI;57039;ELBA;RE06;FONT. NISPORTINO - SPIAGGIA;ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ050-NISPORTINO.pdf;OK;19                                         ;14;20
ACQ050;ACQUEDOTTO DI RIO MARINA;RIO NELL'ELBA;LI;57039;ELBA;RE09;FONT. PIAZZA NISPORTO;ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ050-NISPORTO.pdf;OK;15                                                 ;19;16
ACQ051;ACQUEDOTTO DI RIO NELL'ELBA;RIO NELL'ELBA;LI;57039;ELBA;PF14;LOC. BAGNAIA;ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ051-RIO.pdf;OK;18                                                            ;13;15
ACQ051;ACQUEDOTTO DI RIO NELL'ELBA;RIO NELL'ELBA;LI;57039;ELBA;RE11;FONTANELA VIA CASTELLI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ051-Portoferraio.pdf;Il punto di prelievo ̬ fuori;19        ;20;17
ACQ052;ACQUEDOTTO DI RIPARBELLA;RIPARBELLA;PI;56046;BVC;RP06;FONTANA MATTATOIO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ052.pdf;OK;16                                                            ;13;11
ACQ053;ACQUEDOTTO DI ROSIGNANO MARITTIMO;ROSIGNANO MARITTIMO;LI;57016;BVC;R22;ROSIGNNO MAITTIMO MULINO A VENTO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ053.pdf;OK;19                            ;17;16
ACQ054;ACQUEDOTTO DI SAN VINCENZO;SAN VINCENZO;LI;57027;VDC;SV18;VIA PIAVE;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ054.pdf;OK;10                                                                ;13;17
ACQ056;ACQUEDOTTO DI SANTA LUCE;SANTA LUCE;PI;56040;BVC;SL34;S. LUCE PIAZZA DELLA CHIESA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ056-SLuce.pdf;OK;13                                            ;15;10
ACQ058;ACQUEDOTTO DI SASSETTA;SASSETTA;LI;57020;VDC;SS07;VIA ROMA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ058.pdf;OK;14                                                                         ;13;19
ACQ059;ACQUEDOTTO DI SUVERETO;SUVERETO;LI;57028;VDC;SU05;BOLDRONA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ059.pdf;OK;14                                                                         ;17;19
ACQ070;ACQUEDOTTO DI SALINE;VOLTERRA;PI;56048;AVC;V01;FONTANELLA BORGOGLISI - SALINE;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ070.pdf;OK;15                                                             ;13;16
ACQ072;ACQUEDOTTO DI VILLAMAGNA;VOLTERRA;PI;56048;AVC;V19;VIA VALLONI - VILLAMAGNA;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ072.pdf;OK;13                                                               ;13;13
ACQ073;ACQUEDOTTO DI VOLTERRA;VOLTERRA;PI;56048;AVC;V16;PIAZZA INGHIRAMI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ073.pdf;OK;10                                                                  ;10;12
ACQ074;ACQUEDOTTO DI COLLEMEZZANO;CECINA;LI;57023;BVC;CN25;COLLEMEZZANO VIA TRONTO (COARCEVO DEI POZZI);FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ074.pdf;OK;18                                   ;15;10
ACQ076;ACQUEDOTTO DI CANNETO;MONTEVERDI MARITTIMO;PI;56040;VDC;MV22;VIA DE LARDAREL;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ076.pdf;OK;15                                                       ;10;14
ACQ077;ACQUEDOTTO DI SAN LORENZO;SUVERETO;LI;57028;VDC;SU12;SAN LORENZO;VC;http://www.datiopen.it/asa_qualita_acque/ACQ077.pdf;OK;14                                                                           ;17;13
ACQ078;ACQUEDOTTO DI CAFAGGIO;CAMPIGLIA MARITTIMA;LI;57021;VDC;CA21;CAFAGGIO;VC;http://www.datiopen.it/asa_qualita_acque/ACQ078.pdf;OK;11                                                                      ;15;11
ACQ079;ACQUEDOTTO POGGIO MARCIANA;MARCIANA;LI;57030;ELBA;MA29;FONT. POGIO - PIAZZA UMBERTO I;ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ079.pdf;OK;18                                                    ;17;11
ACQ081;ACQUEDOTTO DI COLLESALVETTI;COLLESALVETTI;LI;57014;NORD;C03;VIA GROCCO (P.ZZA COMUNE COLLESALVETTI);FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ081.pdf;OK;11                                ;15;17
ACQ082;ACQUEDOTTO DI COLOGNOLE;COLLESALVETTI;LI;57014;NORD;C04;FONTANELLA COLOGNOLE PAESE;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ082.pdf;OK;12                                                 ;13;18
ACQ084;ACQUEDOTTO DI RIOTORTO FRANCIANA;PIOMBINO;LI;57025;VDC;PB43;FONT. RIOTORTO VIA LIVORNO;VC;http://www.datiopen.it/asa_qualita_acque/ACQ084.pdf;OK;13                                                     ;16;18
ACQ086;ACQUEDOTTO DEL GABBRO;ROSIGNANO MARITTIMO;LI;57016;BVC;R27;NIBBIAIA PIAZZA MAZZINI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ086.pdf;Il punto di prelievo ̬ fuori;13                      ;17;14
ACQ088;ACQUEDOTTO DI MIEMO;RIPARBELLA;PI;56046;BVC;RP41;LOC. SORBUGNANO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ088.pdf;Il punto di prelievo ̬ fuori;15                                        ;17;20
ACQ089;ACQUEDOTTO DI POGGIO GAGLIARDO;MONTESCUDAIO;PI;56040;BVC;CN40;POGGIO GAGLIARDO FATTORIA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ089.pdf;OK;16                                            ;15;10
ACQ090;ACQUEDOTTO DI ACQUABONA;ROSIGNANO MARITTIMO;LI;57016;BVC;R23;VIA PESCAIOLA/VIA FONTE ROSIGNANO MARITTIMO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ090.pdf;Il punto di prelievo ̬ fuori;18;16;20
ACQ091;ACQUEDOTTO DI CAPRIOLI PIETRICCI-STECCAIA;ROSIGNANO MARITTIMO;LI;57016;BVC;R73;VIA DELLA CAVA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ091.pdf;Il punto di prelievo ̬ fuori;17           ;15;15
ACQ092;ACQUEDOTTO DI BELVEDERE;ROSIGNANO MARITTIMO;LI;57016;BVC;R75;VIA FISICA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ092.pdf;Il punto di prelievo ̬ fuori;19                                 ;13;12
ACQ093;ACQUEDOTTO DI S.PIETRO IN PALAZZI;CECINA;LI;57023;BVC;CN35;S.P. PALAZZI FONTANA VILLAGGIO PARLAPIANO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ093.pdf;OK;19                               ;13;19
ACQ095;ACQUEDOTTO DI BELVEDERE-CAMPI AL MARE;CASTAGNETO CARDUCCI;LI;57022;BVC;CC06;ORTO DEGLI ANZIANI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ095.pdf;Il punto di prelievo ̬ fuori;13          ;20;16
ACQ096;ACQUEDOTTO DI BELVEDERE-CAMPI AL MARE;CASTAGNETO CARDUCCI;LI;57022;BVC;CC06;ORTO DEGLI ANZIANI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ096.pdf;Il punto di prelievo ̬ fuori;11          ;14;14
ACQ097;ACQUEDOTTO DI BAGNOLI;CASTAGNETO CARDUCCI;LI;57022;BVC;CC10;VIA NEMORENZA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ097.pdf;OK;15                                                          ;14;17
ACQ098;ACQUEDOTTO DI MARINA DI CASTAGNETO;CASTAGNETO CARDUCCI;LI;57022;BVC;CC05;INGRESSO CAMPING BELVEDERE (V DI MARINA);FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ098.pdf;OK;20                  ;16;19
ACQ099;ACQUEDOTTO PODERE ALBERTO CAPANNE;CASTAGNETO CARDUCCI;LI;57022;BVC;CC01;LARGO NONNA LUCIA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ099.pdf;OK;19                                          ;20;10
;;;;;;;;;;;10;20
MHDF;RTH;TRH;TRH;qfe;78253;73;RTH;TRH;RTH;L9IT;10;13
